timestamp,data_path,model,target,accuracy,f1_macro,mae,qwk,n
20260402_120324,data/raw/practice_reflections.csv,tfidf,what_score,0.6129032258064516,0.5780332056194125,0.41935483870967744,0.6671438797423049,31
20260402_120324,data/raw/practice_reflections.csv,tfidf,why_score,0.8387096774193549,0.8178088578088579,0.22580645161290322,0.6743075453677172,31
20260402_120324,data/raw/practice_reflections.csv,tfidf,how_score,0.6129032258064516,0.571975916803503,0.41935483870967744,0.5288753799392097,31
20260402_120324,data/raw/practice_reflections.csv,tfidf,total_score,0.4838709677419355,0.38392857142857145,0.967741935483871,0.6779712801710969,31
20260402_120324,data/raw/practice_reflections.csv,embedding,what_score,0.8709677419354839,0.8625760649087221,0.12903225806451613,0.9084194977843427,31
20260402_120324,data/raw/practice_reflections.csv,embedding,why_score,0.7741935483870968,0.757979797979798,0.25806451612903225,0.7394957983193278,31
20260402_120324,data/raw/practice_reflections.csv,embedding,how_score,0.5161290322580645,0.4946311858076564,0.5483870967741935,0.4779470729751404,31
20260402_120324,data/raw/practice_reflections.csv,embedding,total_score,0.3870967741935484,0.2300920368147259,1.064516129032258,0.7178372503735905,31
20260402_120324,data/raw/practice_reflections.csv,llm_gpt4o,what_score,0.5483870967741935,0.3719298245614035,0.4838709677419355,0.5124884366327473,31
20260402_120324,data/raw/practice_reflections.csv,llm_gpt4o,why_score,0.9032258064516129,0.9065811965811966,0.0967741935483871,0.9144434222631095,31
20260402_120324,data/raw/practice_reflections.csv,llm_gpt4o,how_score,0.6774193548387096,0.5816931216931217,0.3225806451612903,0.6823770491803278,31
20260402_124622,data/raw/practice_reflections.csv,tfidf,what_score,0.6129032258064516,0.5780332056194125,0.41935483870967744,0.6671438797423049,31
20260402_124622,data/raw/practice_reflections.csv,tfidf,why_score,0.8387096774193549,0.8178088578088579,0.22580645161290322,0.6743075453677172,31
20260402_124622,data/raw/practice_reflections.csv,tfidf,how_score,0.6129032258064516,0.571975916803503,0.41935483870967744,0.5288753799392097,31
20260402_124622,data/raw/practice_reflections.csv,tfidf,total_score,0.4838709677419355,0.38392857142857145,0.967741935483871,0.6779712801710969,31
20260402_124622,data/raw/practice_reflections.csv,embedding,what_score,0.8709677419354839,0.8625760649087221,0.12903225806451613,0.9084194977843427,31
20260402_124622,data/raw/practice_reflections.csv,embedding,why_score,0.7741935483870968,0.757979797979798,0.25806451612903225,0.7394957983193278,31
20260402_124622,data/raw/practice_reflections.csv,embedding,how_score,0.5161290322580645,0.4946311858076564,0.5483870967741935,0.4779470729751404,31
20260402_124622,data/raw/practice_reflections.csv,embedding,total_score,0.3870967741935484,0.2300920368147259,1.064516129032258,0.7178372503735905,31
